都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0170103378,北海道,札幌市中央区,福祉用具レンタル小鳥,フクシヨウグレンタルコトリ,福祉用具貸与,札幌市中央区南７条西１６丁目３番１４カーサリーベラ　１０３号,カーサリーベラ　１０３号,43.049228750084225,141.332754669342080,011-518-5501,011-351-2725,,株式会社　アメニィタ,0170103378,平日,,,,,,,
011011,0170208284,北海道,札幌市中央区,ライフサポートせせらぎ,ライフサポートセセラギ,福祉用具貸与,北海道札幌市中央区南１５条西１９丁目４番１号楽ゆう館ふしみ,楽ゆう館ふしみ,43.037483415436160,141.327684939197750,011-792-8880,011-205-3168,7430001038279,株式会社アルワン,0170208284,"平日,祝日",,,https://rakuyu-kan.com/company/,,,,
011011,0170104665,北海道,札幌市中央区,ＳＯＭＰＯケア　札幌　福祉用具,ソンポケア　サッポロ　フクシヨウグ,福祉用具貸与,札幌市中央区北11条西14丁目1-17,,43.071840757915380,141.332149409173800,011-788-7900,011-788-6628,1260001015656,ＳＯＭＰＯケア株式会社,0170104665,平日,コールセンター0120-65-1192（改行）(9：00～18：00土日祝除く),,https://www.sompocare.com/service/zaitaku/fukushiyougu/Z000562,,,,
011011,0170104137,北海道,札幌市中央区,パナソニックエイジフリーショップ札幌中央,パナソニックエイジフリーショップサッポロチュウオウ,福祉用具貸与,北海道札幌市中央区北2条東10丁目93-33,,43.066662400000000,141.372191599999950,011-251-1957,011-252-4028,5120001158234,パナソニックエイジフリー株式会社,0170104137,"平日,土曜日",営業時間以外においても利用者の状況等により相談に応じます。,,http://sumai.panasonic.jp/agefree/shop/search/shop_detail.php?shop=987,,,,
011011,0170505887,北海道,札幌市中央区,フランスベッド株式会社　メディカル札幌営業所,フランスベッドカブシキガイシャ　メディカルサッポロエイギョウショ,福祉用具貸与,北海道札幌市中央区北１条東８丁目１番４号ホクアイ北１条　１階,ホクアイ北１条　１階,43.065073600000010,141.368203000000000,011-806-0021,011-806-0034,5012801004462,フランスベッド株式会社,0170505887,"平日,土曜日",,,http://www.francebed.co.jp/,,,,
011011,0170105480,北海道,札幌市中央区,ノースヘルスケアサポート,ノースヘルスケアサポート,福祉用具貸与,北海道札幌市中央区南9条西3丁目10-97札幌KSビル4F,札幌KSビル4F,43.049388400000010,141.355818300000000,011-520-7007,011-561-2011,2430002040453,株式会社アイケア北海道,0170105480,平日,,,,,,,
011011,0170506182,北海道,札幌市中央区,株式会社ライフプラス,カブシキカイシャライフプラス,福祉用具貸与,札幌市中央区南10条西21丁目4番7号,,43.044836098560340,141.326390430592030,011-211-5355,011-211-5356,8430001041496,株式会社ライフプラス,0170506182,"平日,土曜日",,,http://lfplus.jp,,,,
011011,0170204192,北海道,札幌市中央区,株式会社デュオ,カブシキカイシャデュオ,福祉用具貸与,北海道札幌市中央区北３条西１２丁目２番地２,,43.063124303569370,141.338203671559100,011-200-0061,011-211-5858,8430001031951,株式会社デュオ,0170204192,平日,,,,,,,
011029,0170103782,北海道,札幌市北区,イリーゼ生活サポート札幌,イリーゼセイカツサポートサッポロ,福祉用具貸与,北海道札幌市北区新琴似4条1丁目1-45イリーゼ新琴似内,イリーゼ新琴似内,43.105242600000000,141.330378600000020,011-707-5030,011-707-5031,,長谷川介護サービス株式会社,0170103782,平日,,,http://www.irs.jp/,,,,
011029,0170208763,北海道,札幌市北区,はやてケアサービス,ハヤテケアサービス,福祉用具貸与,篠路町上篠路109-77,,43.133812500000010,141.370850600000040,011-776-4611,,9430001071492,株式会社トータルカーケアハヤテ,0170208763,平日,,,http://hp.kaipoke.biz/rm6/136743/index_0005.html,,,,
011029,0170204234,北海道,札幌市北区,西出福祉サービス札幌,ニシデフクシサービスサッポロ,福祉用具貸与,札幌市北区北３４条西１１丁目４－１５西出興業(株)札幌支店内,,43.104645500000004,141.330873000000000,011-756-2636,011-756-3123,7430001048567,西出興業株式会社,0170204234,平日,,,http://www.24de.jp/fukushi/office/index.html,,,,
011029,0170203517,北海道,札幌市北区,株式会社マルベリー　さわやかセンター札幌東,カブシキガイシャマルベリー　サワヤカセンターサッポロヒガシ,福祉用具貸与,札幌市北区新川6条20丁目1番1号　Lynx内,,43.121139544373270,141.292190678637980,011-214-9355,011-214-9356,6430001029386,株式会社マルベリー,0170203517,平日,営業時間以外で緊急時の要望については午前7時30分から午後7時までは対応は可能である（改行）土、日、祝日の対応は予め前日までに要望が場合には対応が可能である,,http://www.mulberry-hokkaido.co.jp,,,,
011029,0170210181,北海道,札幌市北区,介護用品・福祉用具事業所プラスレント,プラスレント,福祉用具貸与,新琴似５条１４丁目9-14,,43.120027000000000,141.309593600000000,080-3551-7231,011-769-1511,3430001091224,株式会社カエサルプラス,0170210181,平日,,,https://kaesaruplus.jimdosite.com/,,,,
011029,0170207351,北海道,札幌市北区,福祉用具貸与事業所　ウェルフェア萌　しのろ,フクシヨウグタイヨジギョウショ　ウェルフェアモエ　シノロ,福祉用具貸与,北海道札幌市北区篠路１０条１丁目１番１号ウェルフェアＭＯＥ,ウェルフェアＭＯＥ,43.157439672195260,141.353214323278850,011-771-8866,011-771-7555,3450001009224,株式会社萌福祉サービス,0170207351,"平日,祝日",緊急時、電話にて24時間、対応可能。,,http://www.moe-fukushi.com/,,,,
011037,0170205520,北海道,札幌市東区,株式会社梅川医科器械店,カブシキガイシャウメカワイカキカイテン,福祉用具貸与,北海道札幌市東区北９条東２丁目3番25号,,43.073166800000000,141.356439400000000,011-722-0225,011-721-6203,,株式会社梅川医科器械店,0170205520,平日,,,http://www.umekawa-mc.co.jp/,,,,
011037,0170207872,北海道,札幌市東区,アイサポート,アイサポート,福祉用具貸与,北海道札幌市東区北21条東1丁目3番18号108号室,108号室,43.087967600000000,141.351466699999950,011-731-8500,011-731-1199,6430001072155,株式会社カキザキ,0170207872,平日,,,,,,,
011037,0170200356,北海道,札幌市東区,株式会社ジェー・シー・アイ　札幌支店,カブシキカイシャ　ジェー・シー・アイ　サッポロシテン,福祉用具貸与,北海道札幌市東区北３６条東２６丁目２-２５,,43.102333700000020,141.389920699999950,011-786-8580,011-786-8261,7370001008552,株式会社ジェー・シー・アイ,0170200356,平日,,,http://www.jci-1000nen.co.jp/,,,,
011037,0170103394,北海道,札幌市東区,ノースケア福祉用具貸与事業所,ノースケアフクシヨウグタイヨジギョウショ,福祉用具貸与,北海道札幌市東区北39条東21丁目1番3号,,43.079691807422350,141.378581968650100,011-522-6093,011-522-9463,5430003006013,合同会社ノースケア,0170103394,平日,,,https://www.north-care.jp/,,,,
011037,0170104715,北海道,札幌市東区,サン・アイクリーン,サンアイクリーン,福祉用具貸与,札幌市東区北３２条東６丁目１番１号,,43.100403182189304,141.355798022582040,011-299-8418,011-299-8413,6430001072329,株式会社サン・アイクリーン,0170104715,平日,,,https://sun-aiclean.com,,,,
011037,0170200570,北海道,札幌市東区,シルバー・サポート・コーポレーション有限会社,シルバーサポートコーポレーションユウゲンガイシャ,福祉用具貸与,北海道札幌市東区苗穂町4丁目2-6中村ビル　1F,中村ビル　1F,43.075846605703134,141.384723690357160,011-748-5280,011-748-5281,4430002010215,シルバー・サポート・コーポレーション有限会社,0170200570,平日,土曜日、日曜日、国民の祝日に関し、電話での相談のみ対応出来る時があります。,,,,,,
011037,0170205447,北海道,札幌市東区,大蔵サポート,オオクラサポート,福祉用具貸与,北海道札幌市東区北28条東2丁目2番20号しんふぉに～28,しんふぉに～28,43.096955948110484,141.350989541760070,011-768-8228,011-788-9956,9430001061460,株式会社大蔵商事,0170205447,"平日,土曜日",,,https://www.okura-group.jp,,,,
011037,0170200182,北海道,札幌市東区,ライフサポートひまわり,ライフサポートヒマワリ,福祉用具貸与,北海道札幌市東区伏古１1条1丁目１番35号,,43.098142700000000,141.393290200000020,011-780-3228,011-780-3229,2430001022428,株式会社　北海道保健企画,0170200182,"平日,土曜日",なし,,http://www.p-himawari.co.jp,,,,
011037,0170209183,北海道,札幌市東区,ダスキンヘルスレント札幌北ステーション,ダスキンヘルスレントサッポロキタステーション,福祉用具貸与,北海道札幌市東区北34条東22丁目1-35,,43.103596999999986,141.379476299999960,011-374-6811,011-374-6812,2430001029398,株式会社ｅｅステーション,0170209183,"平日,土曜日",時間外に於いては「ダスキンコールセンター　０１２０-１００-１００」にて対応します,,https://eestation.co.jp/,,,,
011037,0170204069,北海道,札幌市東区,ピースケアサポート,ピースケアサポート,福祉用具貸与,札幌市東区北24条東3丁目1番16号,,43.092015099638935,141.354224020988450,011-299-7970,011-299-7914,6430001037109,株式会社プリファクター,0170204069,平日,,,https://www.prefactore.com/,,,,
011037,0170208953,北海道,札幌市東区,グッドタイム介護ショップ・札幌東,グッドタイムカイゴショップ　サッポロヒガシ,福祉用具貸与,札幌市東区北34条東27丁目5番1号,,43.101256199999990,141.388558400000000,011-781-1294,011-781-7295,9290001018995,株式会社創生事業団,0170208953,平日,年末年始休暇、12月30日、1月1日、1月2日、1月3日、1月4日（改行）夏季休暇　8月13日　8月14日　8月15日,,http://www.goodtimehome.com/company.php,,,,
